transaccion_id,hora_dia,importe,categoria_comercio,pais_distinto_habitual,dispositivo_nuevo,num_transacciones_24h,antiguedad_cuenta_dias,es_fraude
TX900071,6,124.8,Alimentación,0,0,2,1650,0
TX900072,6,6.56,Electrónica,0,0,4,880,0
TX900073,21,6.22,Alimentación,0,0,4,2008,0
TX900074,21,22.56,Ropa,0,0,5,1562,0
TX900075,16,20.71,Retirada de efectivo,0,1,0,2259,1
TX900076,2,28.26,Alimentación,0,0,1,2233,0
TX900077,15,163.57,Electrónica,0,0,1,310,0
TX900078,19,18.49,Alimentación,0,0,3,1074,0
TX900079,10,8.21,Restauración,0,0,5,2559,0
TX900080,18,39.26,Suscripciones,0,0,2,822,0
TX900081,8,168.84,Alimentación,1,0,5,799,0
TX900082,15,69.1,Retirada de efectivo,0,1,4,700,0
TX900083,16,28.3,Suscripciones,0,0,3,1865,0
TX900084,2,21.68,Alimentación,1,0,2,2056,0
TX900085,11,67.87,Suscripciones,0,0,5,2016,0
TX900086,16,5.93,Electrónica,0,0,2,899,0
TX900087,6,14.96,Viajes,0,0,2,674,0
TX900088,5,8.5,Restauración,0,0,3,2349,0
TX900089,18,158.39,Alimentación,1,0,1,1817,0
TX900090,13,268.82,Retirada de efectivo,0,0,5,747,0
TX900091,4,118.81,Suscripciones,0,0,3,237,0
TX900092,21,18.93,Restauración,0,0,3,2010,0
TX900093,23,4.17,Alimentación,0,0,5,1750,0
TX900094,2,29.53,Restauración,0,1,1,1559,0
TX900095,12,12.15,Viajes,0,0,0,1881,0
TX900096,18,24.1,Suscripciones,0,0,2,1434,0
TX900097,18,28.37,Viajes,0,1,4,1501,0
TX900098,23,115.7,Alimentación,0,0,1,725,0
TX900099,23,28.16,Alimentación,0,0,3,2274,0
TX900100,13,36.75,Retirada de efectivo,0,1,4,543,0
TX900101,0,113.83,Restauración,0,0,0,1361,0
TX900102,20,35.44,Suscripciones,0,1,0,1004,0
TX900103,23,13.55,Restauración,0,0,0,2047,0
TX900104,8,7.08,Electrónica,0,1,3,1304,0
TX900105,16,39.81,Alimentación,0,0,0,2024,0
TX900106,4,58.7,Alimentación,0,0,1,17,0
TX900107,17,39.14,Alimentación,0,0,1,1273,0
TX900108,11,41.61,Suscripciones,0,0,4,580,0
TX900109,21,188.34,Electrónica,0,1,5,52,0
TX900110,19,31.33,Retirada de efectivo,1,0,2,2212,0
TX900111,10,21.46,Retirada de efectivo,0,0,1,678,0
TX900112,15,104.15,Viajes,1,0,1,153,0
TX900113,4,25.5,Suscripciones,0,1,3,2511,0
TX900114,14,20.16,Alimentación,0,0,3,1415,0
TX900115,11,60.66,Retirada de efectivo,1,0,0,134,1
TX900116,5,9.86,Ropa,0,0,3,407,0
TX900117,23,4.07,Retirada de efectivo,0,0,2,64,0
TX900118,18,64.99,Ropa,0,0,1,531,0
TX900119,9,198.1,Suscripciones,0,0,1,2365,0
TX900120,10,225.81,Viajes,0,0,3,1042,0
TX900121,5,12.14,Suscripciones,0,0,3,127,0
TX900122,11,21.25,Electrónica,0,0,0,482,0
TX900123,23,3.18,Alimentación,0,0,0,1184,0
TX900124,15,19.99,Suscripciones,0,0,0,528,0
TX900125,13,698.95,Retirada de efectivo,0,1,3,335,1
TX900126,10,13.55,Ropa,1,0,0,2388,0
TX900127,16,219.57,Ropa,0,1,3,2468,0
TX900128,5,5.4,Retirada de efectivo,0,0,7,1539,0
TX900129,23,31.78,Restauración,0,0,2,1868,0
TX900130,18,29.32,Viajes,0,0,0,956,0
TX900131,0,76.58,Retirada de efectivo,0,1,1,2221,0
TX900132,10,15.65,Suscripciones,0,1,4,808,0
TX900133,19,3.09,Restauración,0,1,2,1991,0
TX900134,16,135.62,Retirada de efectivo,0,0,3,40,0
TX900135,15,8.8,Viajes,0,0,3,11,0
TX900136,22,8.12,Suscripciones,0,0,2,29,0
TX900137,5,12.7,Electrónica,0,0,1,356,0
TX900138,17,6.6,Retirada de efectivo,0,0,4,644,0
TX900139,13,8.38,Retirada de efectivo,0,0,1,2170,0
TX900140,11,22.28,Restauración,1,0,4,208,0
TX900141,6,69.84,Electrónica,0,0,2,850,0
TX900142,14,18.62,Alimentación,1,0,3,16,0
TX900143,13,6.14,Retirada de efectivo,0,0,2,370,0
TX900144,7,4.72,Restauración,0,0,1,1895,0
TX900145,6,78.51,Suscripciones,0,0,6,1171,0
TX900146,14,8.61,Alimentación,0,0,0,1218,0
TX900147,0,43.24,Suscripciones,0,0,4,1614,0
TX900148,9,16.3,Alimentación,0,0,1,1788,0
TX900149,2,41.37,Retirada de efectivo,0,0,0,880,0
TX900150,15,52.71,Ropa,0,0,3,932,0
TX900151,12,36.81,Restauración,0,0,4,2539,0
TX900152,14,13.68,Electrónica,0,0,2,436,0
TX900153,0,25.26,Alimentación,0,0,3,1749,0
TX900154,11,15.67,Ropa,0,0,1,157,0
TX900155,13,85.27,Ropa,1,0,3,462,1
TX900156,23,43.93,Electrónica,0,0,0,1392,0
TX900157,19,4.12,Restauración,0,0,2,265,0
TX900158,20,64.74,Suscripciones,0,0,2,2337,0
TX900159,10,37.08,Viajes,0,0,3,2221,0
TX900160,8,2.14,Restauración,0,0,2,1973,0
TX900161,3,10.95,Suscripciones,0,1,2,1026,0
TX900162,5,83.2,Alimentación,0,0,3,2489,0
TX900163,5,32.07,Retirada de efectivo,0,1,1,916,0
TX900164,22,102.83,Suscripciones,0,0,2,504,0
TX900165,18,46.12,Viajes,0,1,2,823,0
TX900166,3,35.43,Electrónica,0,0,2,137,0
TX900167,9,46.26,Suscripciones,0,1,0,2493,0
TX900168,6,16.13,Viajes,0,1,3,2466,0
TX900169,23,77.6,Viajes,0,0,1,50,0
TX900170,23,28.29,Retirada de efectivo,0,0,5,2189,0
TX900171,11,31.82,Restauración,0,0,4,2496,0
TX900172,11,110.42,Ropa,0,1,1,1558,0
TX900173,19,66.69,Restauración,0,0,1,2594,0
TX900174,21,41.14,Ropa,0,1,1,1537,0
TX900175,13,12.07,Alimentación,0,0,4,1976,0
TX900176,13,15.45,Alimentación,0,0,3,368,0
TX900177,5,24.88,Viajes,0,0,1,2100,0
TX900178,13,3.7,Restauración,0,0,3,2520,0
TX900179,6,51.61,Suscripciones,0,0,2,1898,0
TX900180,2,16.31,Alimentación,0,1,4,2262,0
TX900181,22,35.63,Suscripciones,0,0,5,769,0
TX900182,0,12.37,Viajes,0,0,0,13,0
TX900183,6,134.64,Retirada de efectivo,0,1,2,2277,0
TX900184,5,5.61,Suscripciones,0,1,2,892,0
TX900185,7,2.0,Alimentación,0,0,2,476,0
TX900186,16,75.57,Retirada de efectivo,0,1,2,1534,0
TX900187,23,4.44,Viajes,0,0,4,976,0
TX900188,22,8.3,Ropa,0,0,0,1680,0
TX900189,6,2.69,Alimentación,0,0,0,164,0
TX900190,20,82.39,Ropa,0,0,3,581,0
TX900191,15,58.8,Ropa,0,0,0,540,0
TX900192,3,66.89,Ropa,0,0,3,205,0
TX900193,20,94.97,Alimentación,1,1,1,1068,0
TX900194,12,58.99,Retirada de efectivo,0,0,2,1261,0
TX900195,23,16.44,Electrónica,0,0,0,86,0
TX900196,18,30.03,Viajes,0,0,3,1862,0
TX900197,7,59.43,Restauración,0,0,1,2510,0
TX900198,11,38.12,Retirada de efectivo,0,0,1,1308,0
TX900199,7,11.06,Viajes,0,0,3,395,0
TX900200,4,25.9,Alimentación,0,0,2,117,0
TX900201,23,28.67,Suscripciones,1,1,1,2317,1
TX900202,13,68.72,Restauración,0,0,4,90,0
TX900203,23,32.31,Restauración,0,0,2,1519,0
TX900204,23,32.91,Restauración,1,0,2,1396,1
TX900205,4,10.67,Electrónica,0,0,4,869,0
TX900206,8,39.1,Restauración,0,1,2,226,0
TX900207,8,16.05,Restauración,1,1,1,2209,0
TX900208,15,45.5,Retirada de efectivo,0,0,0,2093,0
TX900209,17,20.92,Alimentación,0,0,2,1360,0
TX900210,15,10.09,Retirada de efectivo,0,0,5,472,1
TX900211,11,19.12,Electrónica,0,0,1,1895,0
TX900212,8,13.47,Alimentación,0,0,2,577,0
TX900213,17,15.57,Ropa,0,0,3,252,0
TX900214,14,22.11,Alimentación,0,0,2,1066,0
TX900215,20,23.49,Alimentación,0,0,7,876,0
TX900216,19,4.6,Ropa,0,0,2,692,0
TX900217,8,97.04,Restauración,0,0,3,1130,0
TX900218,7,14.16,Viajes,0,1,2,364,0
TX900219,23,142.09,Restauración,0,1,2,540,0
TX900220,11,42.29,Alimentación,0,0,2,2124,0
TX900221,21,7.07,Alimentación,0,0,2,2128,0
TX900222,2,9.27,Suscripciones,0,0,0,1681,0
TX900223,3,34.97,Retirada de efectivo,1,0,0,1593,1
TX900224,16,8.35,Electrónica,0,0,3,340,0
TX900225,16,80.88,Retirada de efectivo,0,0,2,356,0
TX900226,6,45.99,Alimentación,0,1,1,2280,0
TX900227,5,297.57,Viajes,0,0,2,97,0
TX900228,13,41.93,Viajes,0,0,6,537,0
TX900229,11,8.81,Retirada de efectivo,0,1,2,1700,0
TX900230,10,54.95,Electrónica,0,0,3,1714,0
TX900231,6,27.33,Restauración,0,0,1,184,0
TX900232,17,25.48,Retirada de efectivo,0,0,3,1104,0
TX900233,21,42.56,Restauración,0,0,4,1779,0
TX900234,6,9.68,Suscripciones,0,0,3,2309,0
TX900235,15,42.74,Alimentación,0,0,0,1473,0
TX900236,22,47.76,Electrónica,0,0,3,234,0
TX900237,21,35.2,Restauración,0,0,1,1254,0
TX900238,16,2.93,Retirada de efectivo,0,0,2,1034,0
TX900239,9,27.42,Retirada de efectivo,0,0,1,1901,0
TX900240,15,5.16,Viajes,0,1,1,1304,0
TX900241,23,5.88,Electrónica,0,0,2,186,0
TX900242,10,7.16,Electrónica,0,0,2,52,0
TX900243,21,19.4,Electrónica,0,0,5,2109,0
TX900244,2,18.03,Suscripciones,0,0,2,884,0
TX900245,11,132.84,Electrónica,0,0,1,315,0
TX900246,4,64.27,Alimentación,0,0,4,2099,0
TX900247,16,95.38,Restauración,0,0,1,111,0
TX900248,6,64.68,Suscripciones,0,0,0,528,0
TX900249,18,6.67,Ropa,0,0,3,379,0
TX900250,1,11.07,Suscripciones,0,0,2,1918,0
TX900251,11,2.0,Restauración,0,1,1,1763,0
TX900252,15,24.28,Viajes,0,0,1,2067,0
TX900253,16,125.22,Ropa,0,0,0,2593,0
TX900254,0,26.19,Alimentación,0,1,4,461,0
TX900255,9,7.08,Retirada de efectivo,1,0,1,1234,0
TX900256,10,9.99,Restauración,0,0,2,1503,0
TX900257,8,41.5,Ropa,0,0,4,646,0
TX900258,20,14.41,Retirada de efectivo,0,0,1,2059,0
TX900259,10,70.17,Ropa,0,0,5,1164,0
TX900260,3,60.31,Restauración,0,1,2,2361,0
TX900261,10,18.7,Retirada de efectivo,0,0,2,2019,0
TX900262,21,7.14,Retirada de efectivo,0,0,3,1223,0
TX900263,12,45.65,Electrónica,0,0,3,919,0
TX900264,9,11.83,Viajes,0,0,5,1512,0
TX900265,17,42.97,Restauración,0,0,1,546,0
TX900266,15,48.59,Alimentación,0,0,2,573,0
TX900267,8,13.74,Restauración,0,1,3,1777,0
TX900268,14,142.32,Electrónica,0,0,1,1652,0
TX900269,2,18.35,Alimentación,0,1,0,2489,0
TX900270,9,71.44,Ropa,0,0,3,2408,0
TX900271,8,59.65,Ropa,0,0,2,1057,0
TX900272,10,17.91,Suscripciones,0,0,5,2242,0
TX900273,23,6.77,Suscripciones,1,0,5,2443,0
TX900274,3,25.44,Electrónica,1,0,3,221,0
TX900275,7,59.23,Alimentación,0,0,3,826,0
TX900276,23,19.89,Viajes,0,0,4,1291,0
TX900277,20,16.77,Alimentación,0,0,3,1310,0
TX900278,6,40.8,Suscripciones,0,0,0,1452,0
TX900279,7,33.14,Electrónica,0,0,1,637,0
TX900280,9,10.68,Suscripciones,1,0,1,1936,0
TX900281,15,5.04,Viajes,0,0,1,2347,0
TX900282,3,47.5,Retirada de efectivo,0,0,2,556,0
TX900283,2,10.66,Retirada de efectivo,0,0,3,140,0
TX900284,1,14.48,Restauración,0,1,3,929,0
TX900285,21,79.61,Restauración,0,0,3,52,0
TX900286,0,449.68,Electrónica,0,1,2,1704,0
TX900287,22,236.52,Suscripciones,0,0,1,2087,0
TX900288,9,25.22,Viajes,0,0,1,591,0
TX900289,8,126.98,Suscripciones,0,0,0,1632,0
TX900290,0,5.28,Suscripciones,0,0,1,793,0
TX900291,0,18.57,Ropa,0,0,4,564,0
TX900292,11,15.56,Ropa,0,0,5,2438,0
TX900293,13,12.86,Suscripciones,0,0,0,1433,0
TX900294,16,30.69,Suscripciones,0,0,2,1225,0
TX900295,20,37.71,Alimentación,0,0,2,1662,0
TX900296,6,16.56,Restauración,0,1,2,348,0
TX900297,8,29.81,Alimentación,0,0,3,1706,0
TX900298,1,8.92,Retirada de efectivo,0,0,4,389,0
TX900299,9,2.0,Suscripciones,0,0,1,1619,0
TX900300,13,28.34,Electrónica,0,0,0,1854,0
TX900301,23,39.28,Electrónica,1,0,3,318,0
TX900302,17,68.24,Suscripciones,0,0,2,43,0
TX900303,10,5.98,Alimentación,0,1,2,1343,0
TX900304,13,5.16,Viajes,0,0,4,1601,0
TX900305,18,2.45,Ropa,0,0,2,2015,0
TX900306,1,36.72,Ropa,0,0,2,886,0
TX900307,3,10.78,Suscripciones,0,0,1,2022,0
TX900308,19,11.9,Retirada de efectivo,0,0,5,81,0
TX900309,17,47.07,Viajes,1,1,1,2092,0
TX900310,9,118.34,Viajes,0,0,1,2296,0
TX900311,23,13.87,Electrónica,1,0,4,199,0
TX900312,1,63.03,Restauración,0,0,0,211,0
TX900313,7,42.12,Alimentación,0,0,1,1086,0
TX900314,19,130.19,Viajes,0,0,3,758,0
TX900315,0,36.92,Electrónica,0,0,2,77,0
TX900316,21,11.68,Viajes,0,1,2,195,0
TX900317,8,12.11,Electrónica,0,0,1,2229,0
TX900318,15,128.48,Viajes,0,1,1,567,0
TX900319,13,209.35,Viajes,0,0,0,761,0
TX900320,23,9.09,Suscripciones,0,1,1,650,0
TX900321,15,3.32,Suscripciones,0,0,1,1716,0
TX900322,10,38.44,Restauración,0,0,2,903,0
TX900323,15,6.44,Alimentación,0,0,1,1389,0
TX900324,22,6.11,Ropa,0,0,5,1469,0
TX900325,9,9.87,Retirada de efectivo,0,0,3,481,0
TX900326,4,12.98,Retirada de efectivo,0,0,3,1981,0
TX900327,14,4.03,Electrónica,1,0,1,1927,0
TX900328,15,57.41,Suscripciones,1,0,1,2420,0
TX900329,15,18.8,Restauración,0,1,1,811,0
TX900330,8,40.43,Suscripciones,0,0,3,2361,0
TX900331,0,11.64,Retirada de efectivo,0,0,5,96,0
TX900332,0,28.24,Electrónica,0,0,3,1846,0
TX900333,19,21.46,Ropa,1,1,2,515,0
TX900334,10,42.82,Viajes,0,0,2,272,0
TX900335,17,7.04,Alimentación,0,0,2,1226,0
TX900336,11,64.67,Viajes,0,0,3,1831,0
TX900337,21,23.01,Restauración,0,0,3,1736,0
TX900338,0,10.92,Suscripciones,0,1,2,1576,0
TX900339,7,30.14,Viajes,0,0,1,1664,0
TX900340,20,84.08,Restauración,1,0,2,68,0
TX900341,2,55.65,Retirada de efectivo,1,1,2,1575,0
TX900342,15,65.62,Retirada de efectivo,0,0,1,1535,0
TX900343,22,26.11,Alimentación,0,0,1,2274,0
TX900344,0,9.39,Retirada de efectivo,0,0,4,1231,0
TX900345,14,20.09,Retirada de efectivo,1,1,0,1190,0
TX900346,1,25.67,Suscripciones,0,0,1,1619,0
TX900347,4,77.88,Suscripciones,0,0,4,423,0
TX900348,0,10.05,Retirada de efectivo,0,0,1,1803,0
TX900349,8,82.28,Restauración,0,0,3,816,0
TX900350,3,72.53,Alimentación,0,0,3,2212,0
TX900351,23,104.3,Retirada de efectivo,0,0,3,383,0
TX900352,4,57.93,Retirada de efectivo,0,0,2,2018,0
TX900353,11,23.76,Electrónica,0,0,2,1909,0
TX900354,6,13.17,Retirada de efectivo,0,0,1,1501,0
TX900355,22,114.41,Restauración,0,0,2,637,0
TX900356,7,43.88,Viajes,1,0,1,1000,0
TX900357,11,4.63,Retirada de efectivo,0,0,2,2068,0
TX900358,11,94.99,Viajes,0,1,3,1998,0
TX900359,0,25.52,Alimentación,0,0,3,1195,0
TX900360,11,36.01,Electrónica,0,0,4,584,0
TX900361,11,195.39,Electrónica,0,0,2,2482,0
TX900362,22,20.31,Electrónica,0,0,3,595,0
TX900363,18,2.92,Alimentación,0,0,2,1556,0
TX900364,3,31.51,Suscripciones,0,0,5,2267,0
TX900365,11,13.81,Restauración,0,0,2,138,0
TX900366,18,18.15,Electrónica,0,0,1,1967,0
TX900367,21,11.07,Electrónica,0,0,3,1180,0
TX900368,14,4.08,Retirada de efectivo,0,0,1,2594,0
TX900369,19,51.0,Alimentación,0,1,1,35,0
TX900370,14,129.52,Restauración,0,0,1,2096,0
TX900371,16,41.96,Viajes,1,0,3,1663,0
TX900372,22,10.0,Viajes,0,0,2,1643,0
TX900373,16,23.19,Electrónica,0,0,1,759,0
TX900374,23,423.06,Alimentación,0,1,1,2391,0
TX900375,21,52.27,Restauración,0,0,1,718,0
TX900376,20,26.44,Ropa,0,0,3,2598,0
TX900377,6,6.51,Suscripciones,0,0,2,1931,0
TX900378,14,27.97,Electrónica,0,1,3,1623,0
TX900379,18,15.67,Electrónica,0,0,4,1032,0
TX900380,6,56.51,Alimentación,0,0,3,1139,0
TX900381,9,22.69,Viajes,1,0,3,2428,0
TX900382,20,101.41,Retirada de efectivo,0,0,0,672,0
TX900383,17,114.79,Alimentación,0,0,4,828,0
TX900384,3,3.7,Alimentación,0,1,3,159,0
TX900385,4,40.25,Ropa,0,0,4,307,0
TX900386,8,128.36,Restauración,0,1,3,564,0
TX900387,4,79.32,Viajes,0,0,2,353,0
TX900388,21,2.05,Viajes,0,0,1,229,0
TX900389,8,195.51,Retirada de efectivo,0,1,3,1262,1
TX900390,0,4.98,Suscripciones,0,0,1,2485,0
TX900391,11,3.42,Viajes,0,0,0,2317,0
TX900392,2,3.78,Suscripciones,0,0,1,1908,0
TX900393,8,45.49,Ropa,0,0,1,808,0
TX900394,5,8.55,Ropa,0,0,4,1353,0
TX900395,16,10.41,Ropa,1,1,4,921,0
TX900396,23,13.08,Alimentación,0,0,1,1501,0
TX900397,15,90.69,Restauración,0,0,2,1021,0
TX900398,15,53.36,Viajes,0,0,4,850,0
TX900399,15,5.74,Restauración,0,0,3,2541,0
TX900400,15,10.49,Restauración,0,0,5,2395,0
TX900401,14,4.29,Ropa,0,0,3,1030,0
TX900402,19,11.1,Ropa,0,0,0,1613,0
TX900403,18,38.88,Viajes,0,0,3,602,0
TX900404,22,17.57,Restauración,0,0,2,1151,0
TX900405,21,6.87,Electrónica,0,0,0,1857,0
TX900406,10,64.73,Electrónica,0,0,0,287,0
TX900407,0,25.55,Alimentación,1,0,4,1512,0
TX900408,7,8.57,Restauración,0,0,1,1963,0
TX900409,10,128.91,Ropa,1,1,4,2210,0
TX900410,0,35.19,Restauración,0,1,1,589,0
TX900411,4,22.92,Retirada de efectivo,0,1,2,1760,0
TX900412,5,38.94,Alimentación,0,0,1,156,0
TX900413,13,4.91,Suscripciones,0,1,1,782,0
TX900414,0,4.71,Ropa,0,0,2,1153,0
TX900415,1,10.6,Viajes,0,0,1,1547,0
TX900416,19,63.33,Retirada de efectivo,0,0,5,810,0
TX900417,9,12.14,Ropa,1,0,0,1955,0
TX900418,2,15.9,Restauración,0,1,1,396,0
TX900419,9,218.44,Suscripciones,0,0,0,2326,0
TX900420,22,4.09,Restauración,1,0,5,655,0
TX900421,20,64.94,Viajes,0,0,3,1331,0
TX900422,11,6.73,Ropa,0,0,3,1026,0
TX900423,17,68.9,Restauración,0,0,0,2085,0
TX900424,7,10.63,Alimentación,1,0,2,1283,1
TX900425,1,20.82,Retirada de efectivo,0,1,3,1293,0
TX900426,5,9.03,Viajes,0,0,3,883,0
TX900427,0,5.27,Retirada de efectivo,0,0,2,328,0
TX900428,21,7.18,Electrónica,1,0,2,619,0
TX900429,16,20.35,Viajes,0,0,1,2016,0
TX900430,7,13.49,Viajes,1,0,3,1356,0
TX900431,13,6.54,Electrónica,0,1,2,814,0
TX900432,2,37.81,Viajes,1,0,2,2035,0
TX900433,16,2.91,Electrónica,0,0,4,687,0
TX900434,1,28.51,Electrónica,0,0,5,346,0
TX900435,19,13.58,Viajes,0,0,2,687,0
TX900436,15,43.58,Restauración,0,1,1,326,0
TX900437,14,113.35,Retirada de efectivo,0,0,1,1515,0
TX900438,17,12.48,Electrónica,0,1,3,770,0
TX900439,23,16.4,Alimentación,0,0,0,630,0
TX900440,1,44.34,Restauración,0,0,1,990,0
TX900441,5,25.58,Ropa,0,0,3,308,0
TX900442,17,55.78,Suscripciones,0,0,2,1400,0
TX900443,1,9.97,Restauración,1,1,4,905,0
TX900444,13,44.01,Electrónica,0,0,3,2499,0
TX900445,7,28.49,Viajes,0,0,2,1044,0
TX900446,14,34.81,Ropa,0,0,3,399,0
TX900447,8,14.62,Ropa,0,0,1,1263,0
TX900448,7,16.58,Suscripciones,0,0,1,1894,0
TX900449,11,8.15,Retirada de efectivo,0,0,2,1378,0
TX900450,15,43.86,Restauración,0,0,1,905,0
TX900451,2,25.29,Viajes,0,1,0,1649,0
TX900452,4,25.33,Alimentación,0,0,3,1306,0
TX900453,2,8.7,Ropa,0,0,1,2540,0
TX900454,5,41.89,Suscripciones,0,0,1,1944,0
TX900455,10,6.64,Suscripciones,0,0,2,1550,0
TX900456,12,47.96,Restauración,0,0,2,2159,0
TX900457,5,4.13,Viajes,0,0,1,2399,0
TX900458,17,195.08,Alimentación,0,0,2,2040,0
TX900459,17,525.71,Suscripciones,0,0,2,1789,0
TX900460,3,64.74,Alimentación,0,0,2,2005,0
TX900461,22,22.91,Electrónica,0,0,3,2334,0
TX900462,16,10.16,Alimentación,0,0,3,101,0
TX900463,3,8.99,Suscripciones,0,0,3,922,0
TX900464,13,18.54,Retirada de efectivo,0,1,4,1089,0
TX900465,17,50.63,Suscripciones,1,1,3,2556,1
TX900466,4,23.44,Electrónica,0,1,0,1399,0
TX900467,1,762.45,Electrónica,1,0,1,1931,1
TX900468,20,15.5,Viajes,0,1,1,1428,0
TX900469,7,16.61,Alimentación,0,0,3,2109,0
TX900470,5,20.87,Ropa,0,0,2,1088,0
TX900471,5,33.12,Retirada de efectivo,1,1,2,1268,1
TX900472,11,11.07,Alimentación,0,0,4,1855,0
TX900473,11,62.68,Retirada de efectivo,0,0,3,1908,0
TX900474,12,3.91,Electrónica,0,1,4,2185,0
TX900475,4,111.79,Retirada de efectivo,0,0,3,869,0
TX900476,7,30.03,Alimentación,0,0,3,124,0
TX900477,6,14.87,Ropa,0,0,2,2530,0
TX900478,21,99.32,Suscripciones,0,0,3,1415,0
TX900479,15,39.61,Alimentación,0,0,2,577,0
TX900480,0,9.7,Electrónica,0,1,3,1568,0
TX900481,15,12.63,Viajes,0,0,0,1783,0
TX900482,4,12.98,Viajes,0,0,0,1995,0
TX900483,2,42.99,Ropa,0,0,3,1683,0
TX900484,22,44.98,Viajes,0,0,3,2086,0
TX900485,2,16.03,Restauración,1,0,1,309,0
TX900486,18,28.63,Ropa,0,0,3,698,0
TX900487,1,829.43,Electrónica,0,0,4,590,0
TX900488,11,7.66,Electrónica,0,1,1,1393,0
TX900489,0,18.58,Viajes,0,0,3,2268,0
TX900490,16,46.69,Ropa,0,0,3,269,0
TX900491,6,107.0,Suscripciones,0,0,2,977,0
TX900492,14,22.29,Electrónica,0,1,3,1443,0
TX900493,15,3.38,Ropa,0,0,5,732,0
TX900494,0,127.14,Viajes,0,1,1,404,0
TX900495,10,90.78,Ropa,0,0,3,899,0
