customer_id,genero,mayor_65,tiene_pareja,tiene_dependientes,antiguedad_meses,tipo_contrato,facturacion_electronica,metodo_pago,servicio_internet,seguridad_online,soporte_tecnico,streaming_tv,cargo_mensual,cargo_total,num_incidencias_soporte,churn
CU5014,Masculino,0,No,Sí,16,Dos años,Sí,Cheque electrónico,Sin internet,Sí,Sí,No,39.22,601.82,0,0
CU5015,Femenino,0,No,Sí,34,Dos años,Sí,Tarjeta de crédito,Fibra óptica,No,No,Sí,45.7,1549.87,2,0
CU5016,Femenino,1,Sí,No,55,Dos años,Sí,Transferencia,DSL,No,No,No,78.91,4421.01,2,0
CU5017,Masculino,0,Sí,Sí,66,Dos años,No,Tarjeta de crédito,Sin internet,No,No,Sí,84.97,5240.81,3,0
CU5018,Masculino,0,No,No,9,Mes a mes,No,Domiciliación bancaria,Fibra óptica,No,No,Sí,104.1,930.42,1,0
CU5019,Femenino,0,Sí,Sí,7,Mes a mes,Sí,Transferencia,DSL,No,No,Sí,55.08,361.36,1,0
CU5020,Femenino,0,Sí,No,9,Mes a mes,No,Cheque electrónico,Fibra óptica,No,Sí,No,56.67,529.66,1,0
CU5021,Masculino,0,Sí,No,7,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,No,No,60.43,396.86,0,0
CU5022,Masculino,0,Sí,No,69,Un año,No,Cheque electrónico,Fibra óptica,No,No,No,48.12,3087.95,1,0
CU5023,Masculino,0,Sí,Sí,10,Dos años,No,Transferencia,Sin internet,No,No,Sí,77.15,784.59,0,0
CU5024,Masculino,0,Sí,Sí,8,Dos años,Sí,Cheque electrónico,Fibra óptica,No,No,No,55.78,430.27,1,0
CU5025,Femenino,0,Sí,No,23,Un año,Sí,Cheque electrónico,Fibra óptica,No,No,Sí,30.79,741.64,2,0
CU5026,Femenino,1,No,No,60,Mes a mes,Sí,Cheque electrónico,Fibra óptica,Sí,Sí,No,18.0,1117.07,2,0
CU5027,Femenino,0,No,No,66,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,Sí,No,61.47,3918.26,1,0
CU5028,Masculino,1,No,Sí,49,Mes a mes,Sí,Transferencia,DSL,No,No,No,82.38,3883.3,1,0
CU5029,Masculino,0,Sí,Sí,43,Mes a mes,Sí,Transferencia,Fibra óptica,Sí,No,No,45.78,1988.41,0,0
CU5030,Masculino,0,No,Sí,55,Mes a mes,No,Transferencia,Sin internet,No,No,No,28.43,1475.73,1,0
CU5031,Masculino,0,No,No,6,Mes a mes,Sí,Domiciliación bancaria,DSL,No,No,No,107.96,656.73,0,1
CU5032,Masculino,0,No,No,40,Mes a mes,Sí,Domiciliación bancaria,DSL,No,Sí,Sí,55.08,2247.71,0,0
CU5033,Femenino,0,No,Sí,4,Dos años,Sí,Transferencia,Fibra óptica,Sí,No,No,90.19,352.73,2,1
CU5034,Femenino,0,Sí,No,55,Mes a mes,Sí,Domiciliación bancaria,Sin internet,No,No,No,94.47,5406.45,2,0
CU5035,Femenino,0,Sí,No,36,Mes a mes,No,Cheque electrónico,Fibra óptica,Sí,No,No,107.29,3919.03,2,1
CU5036,Femenino,0,No,No,69,Un año,No,Domiciliación bancaria,Sin internet,Sí,Sí,No,63.4,4478.74,2,0
CU5037,Masculino,1,No,No,43,Mes a mes,Sí,Transferencia,Fibra óptica,No,Sí,No,24.97,1078.85,0,0
CU5038,Femenino,0,Sí,No,54,Dos años,No,Transferencia,DSL,No,No,Sí,18.0,944.98,0,0
CU5039,Femenino,0,No,No,4,Dos años,No,Domiciliación bancaria,DSL,Sí,No,Sí,57.57,231.14,0,0
CU5040,Masculino,0,No,No,23,Mes a mes,Sí,Domiciliación bancaria,DSL,No,Sí,Sí,112.51,2404.2,3,0
CU5041,Masculino,0,No,No,33,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,Sí,No,Sí,67.07,2133.64,1,0
CU5042,Masculino,0,No,No,65,Mes a mes,Sí,Transferencia,Fibra óptica,No,Sí,No,103.01,6264.25,0,0
CU5043,Femenino,0,Sí,No,49,Dos años,Sí,Transferencia,Fibra óptica,Sí,No,Sí,37.8,1712.46,1,0
CU5044,Femenino,0,Sí,Sí,34,Mes a mes,No,Domiciliación bancaria,Sin internet,Sí,Sí,Sí,105.67,3623.72,3,0
CU5045,Masculino,0,Sí,No,47,Dos años,Sí,Transferencia,Fibra óptica,Sí,Sí,Sí,83.89,4100.5,3,0
CU5046,Femenino,0,Sí,No,11,Dos años,Sí,Domiciliación bancaria,DSL,No,No,Sí,68.65,748.0,1,0
CU5047,Femenino,1,Sí,No,50,Dos años,Sí,Cheque electrónico,Fibra óptica,Sí,Sí,No,91.29,4777.12,0,0
CU5048,Masculino,0,No,Sí,66,Un año,Sí,Cheque electrónico,Fibra óptica,No,No,Sí,49.07,3349.86,1,0
CU5049,Masculino,0,No,Sí,24,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,No,No,Sí,77.96,1862.13,1,0
CU5050,Femenino,0,Sí,Sí,30,Un año,No,Tarjeta de crédito,Sin internet,Sí,No,Sí,41.33,1214.19,1,0
CU5051,Masculino,0,No,No,69,Mes a mes,Sí,Domiciliación bancaria,DSL,Sí,Sí,No,47.9,3309.51,1,0
CU5052,Femenino,0,Sí,No,18,Mes a mes,Sí,Cheque electrónico,DSL,No,Sí,Sí,39.31,706.68,2,0
CU5053,Femenino,0,No,Sí,49,Un año,No,Cheque electrónico,DSL,No,Sí,No,39.98,1840.18,0,0
CU5054,Femenino,0,No,Sí,46,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,18.0,864.03,1,0
CU5055,Masculino,0,Sí,No,15,Dos años,Sí,Cheque electrónico,DSL,Sí,No,Sí,128.7,1948.82,1,1
CU5056,Femenino,0,No,Sí,72,Mes a mes,No,Domiciliación bancaria,Sin internet,No,No,No,31.34,2188.07,0,0
CU5057,Femenino,0,No,No,69,Mes a mes,Sí,Transferencia,DSL,No,No,Sí,93.94,6176.57,0,0
CU5058,Femenino,0,Sí,No,61,Mes a mes,No,Cheque electrónico,DSL,No,No,Sí,18.0,1112.53,2,0
CU5059,Femenino,0,Sí,No,47,Mes a mes,No,Transferencia,DSL,No,No,Sí,48.83,2245.45,1,0
CU5060,Femenino,0,No,Sí,18,Un año,Sí,Tarjeta de crédito,Fibra óptica,No,No,No,54.97,993.8,1,1
CU5061,Masculino,1,Sí,No,1,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,No,No,No,104.82,103.88,0,1
CU5062,Femenino,0,No,No,52,Un año,No,Domiciliación bancaria,Fibra óptica,No,Sí,Sí,74.27,3753.08,0,0
CU5063,Femenino,0,Sí,No,51,Mes a mes,No,Cheque electrónico,DSL,No,No,Sí,34.98,1785.65,2,0
CU5064,Femenino,0,Sí,No,18,Mes a mes,No,Transferencia,Fibra óptica,No,No,No,58.15,1000.31,1,1
CU5065,Masculino,0,Sí,Sí,9,Un año,Sí,Tarjeta de crédito,Fibra óptica,No,No,Sí,98.22,864.46,4,0
CU5066,Masculino,0,No,No,37,Mes a mes,No,Domiciliación bancaria,Fibra óptica,No,Sí,Sí,94.41,3334.34,2,1
CU5067,Femenino,0,No,No,72,Dos años,Sí,Domiciliación bancaria,Sin internet,No,Sí,Sí,46.28,3405.14,0,0
CU5068,Masculino,0,No,No,10,Un año,Sí,Tarjeta de crédito,Fibra óptica,Sí,No,Sí,23.83,220.66,1,0
CU5069,Femenino,0,No,No,22,Mes a mes,No,Cheque electrónico,Fibra óptica,Sí,No,Sí,47.02,976.54,0,0
CU5070,Femenino,0,Sí,No,21,Un año,No,Tarjeta de crédito,Fibra óptica,No,No,Sí,84.01,1770.29,0,1
CU5071,Femenino,0,Sí,No,12,Un año,Sí,Domiciliación bancaria,Fibra óptica,No,No,No,18.0,208.6,0,0
CU5072,Femenino,0,No,No,72,Dos años,No,Tarjeta de crédito,Sin internet,No,Sí,No,60.15,4289.1,0,0
CU5073,Masculino,0,Sí,No,62,Mes a mes,No,Transferencia,Fibra óptica,No,Sí,No,30.86,1791.87,0,0
CU5074,Femenino,0,Sí,No,33,Un año,No,Cheque electrónico,Fibra óptica,No,No,No,51.39,1765.28,0,0
CU5075,Femenino,0,No,No,27,Mes a mes,No,Tarjeta de crédito,Sin internet,Sí,No,No,79.32,2052.32,0,0
CU5076,Femenino,0,Sí,Sí,54,Mes a mes,No,Cheque electrónico,Fibra óptica,No,No,No,63.19,3533.88,0,0
CU5077,Masculino,0,No,Sí,71,Un año,No,Transferencia,DSL,No,No,No,84.47,5859.03,0,0
CU5078,Masculino,0,Sí,No,31,Un año,No,Domiciliación bancaria,DSL,Sí,No,No,99.29,3129.05,1,0
CU5079,Femenino,1,Sí,No,63,Un año,Sí,Cheque electrónico,Fibra óptica,No,Sí,Sí,130.0,8069.93,1,1
CU5080,Masculino,1,No,Sí,0,Mes a mes,Sí,Cheque electrónico,DSL,Sí,Sí,No,90.41,90.52,1,1
CU5081,Femenino,0,Sí,No,45,Mes a mes,No,Transferencia,Fibra óptica,No,No,Sí,81.85,3467.54,1,0
CU5082,Masculino,0,Sí,No,47,Un año,Sí,Cheque electrónico,Fibra óptica,Sí,No,Sí,46.65,2064.1,3,0
CU5083,Femenino,0,Sí,No,30,Mes a mes,No,Transferencia,DSL,No,Sí,Sí,90.04,2535.14,1,0
CU5084,Masculino,0,Sí,No,30,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,Sí,Sí,108.8,3178.64,1,1
CU5085,Masculino,0,No,Sí,10,Mes a mes,No,Domiciliación bancaria,Fibra óptica,No,Sí,No,46.09,462.48,1,0
CU5086,Femenino,0,No,No,19,Mes a mes,No,Tarjeta de crédito,Sin internet,No,Sí,No,49.31,965.52,0,0
CU5087,Femenino,0,Sí,No,48,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,46.85,2237.65,3,0
CU5088,Masculino,0,Sí,Sí,14,Un año,No,Cheque electrónico,Fibra óptica,No,No,Sí,27.96,376.59,0,0
CU5089,Femenino,1,Sí,No,20,Un año,Sí,Cheque electrónico,Fibra óptica,No,Sí,Sí,64.55,1323.46,1,1
CU5090,Femenino,1,Sí,No,35,Mes a mes,Sí,Tarjeta de crédito,DSL,No,Sí,Sí,27.26,901.11,2,1
CU5091,Femenino,0,Sí,Sí,7,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,No,No,No,62.22,442.78,0,0
CU5092,Masculino,1,No,No,65,Mes a mes,Sí,Transferencia,Fibra óptica,Sí,Sí,No,73.96,4869.25,3,0
CU5093,Masculino,1,No,No,66,Dos años,No,Tarjeta de crédito,Sin internet,No,Sí,Sí,72.92,4868.17,1,0
CU5094,Masculino,0,No,No,24,Mes a mes,Sí,Domiciliación bancaria,DSL,No,No,No,51.12,1165.49,1,0
CU5095,Femenino,0,Sí,No,20,Mes a mes,Sí,Domiciliación bancaria,DSL,No,Sí,Sí,21.63,426.05,1,0
CU5096,Femenino,1,Sí,No,41,Un año,No,Transferencia,DSL,No,No,No,99.12,3791.74,2,1
CU5097,Femenino,0,No,No,64,Mes a mes,Sí,Transferencia,Fibra óptica,No,No,No,18.0,1099.75,1,0
CU5098,Masculino,0,No,No,3,Dos años,Sí,Cheque electrónico,DSL,No,No,Sí,68.29,197.75,1,0
CU5099,Femenino,0,Sí,No,2,Mes a mes,No,Cheque electrónico,Fibra óptica,Sí,Sí,No,106.6,199.46,1,0
CU5100,Masculino,0,Sí,Sí,52,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,No,No,67.57,3621.97,1,1
CU5101,Masculino,0,Sí,No,50,Dos años,No,Cheque electrónico,Fibra óptica,No,Sí,Sí,100.8,4783.04,0,0
CU5102,Masculino,0,Sí,Sí,57,Dos años,No,Domiciliación bancaria,Fibra óptica,No,No,Sí,79.28,4236.32,2,0
CU5103,Femenino,1,Sí,No,43,Mes a mes,Sí,Transferencia,Sin internet,No,No,No,25.99,1034.29,0,0
CU5104,Femenino,0,No,No,27,Mes a mes,No,Domiciliación bancaria,Fibra óptica,No,Sí,No,101.72,2837.34,1,0
CU5105,Masculino,0,Sí,Sí,3,Dos años,Sí,Tarjeta de crédito,Fibra óptica,No,No,No,48.5,141.92,4,0
CU5106,Masculino,0,No,No,32,Mes a mes,Sí,Domiciliación bancaria,Sin internet,No,Sí,Sí,53.0,1777.4,0,0
CU5107,Femenino,0,No,Sí,7,Dos años,Sí,Transferencia,Fibra óptica,No,Sí,Sí,84.15,611.0,0,0
CU5108,Masculino,0,No,No,5,Mes a mes,Sí,Cheque electrónico,Fibra óptica,Sí,Sí,Sí,38.46,194.92,1,0
CU5109,Femenino,0,No,No,41,Dos años,No,Tarjeta de crédito,Fibra óptica,Sí,No,Sí,91.32,3498.25,2,0
CU5110,Femenino,0,Sí,No,67,Un año,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,76.81,5115.73,3,0
CU5111,Femenino,0,No,No,54,Dos años,Sí,Tarjeta de crédito,Fibra óptica,No,Sí,No,111.33,5923.37,1,0
CU5112,Masculino,0,Sí,No,40,Mes a mes,Sí,Cheque electrónico,Fibra óptica,Sí,No,No,97.13,4042.26,2,1
CU5113,Femenino,0,Sí,No,14,Dos años,Sí,Tarjeta de crédito,Sin internet,No,No,Sí,59.26,785.93,2,1
CU5114,Masculino,0,No,No,10,Mes a mes,No,Transferencia,DSL,Sí,No,No,53.34,519.31,3,1
CU5115,Femenino,0,No,No,7,Mes a mes,Sí,Cheque electrónico,DSL,No,No,Sí,44.51,322.3,0,0
CU5116,Femenino,1,Sí,No,54,Un año,No,Transferencia,Sin internet,No,Sí,Sí,58.0,2950.58,0,1
CU5117,Masculino,0,No,No,60,Mes a mes,No,Tarjeta de crédito,Fibra óptica,Sí,No,Sí,39.75,2432.71,1,1
CU5118,Masculino,1,No,No,56,Mes a mes,Sí,Transferencia,DSL,No,Sí,No,56.34,2990.51,1,0
CU5119,Masculino,0,Sí,Sí,0,Un año,Sí,Domiciliación bancaria,DSL,No,No,Sí,29.57,29.76,1,0
CU5120,Femenino,1,Sí,Sí,14,Un año,Sí,Cheque electrónico,DSL,No,No,No,37.72,548.61,1,0
CU5121,Femenino,0,Sí,No,34,Un año,Sí,Domiciliación bancaria,Fibra óptica,No,No,Sí,103.29,3407.69,0,0
CU5122,Masculino,0,Sí,No,33,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,No,No,Sí,27.47,926.78,1,0
CU5123,Femenino,0,Sí,Sí,9,Mes a mes,No,Domiciliación bancaria,Fibra óptica,No,No,Sí,25.0,210.88,0,0
CU5124,Masculino,1,Sí,Sí,32,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,No,No,Sí,44.68,1339.6,3,0
CU5125,Femenino,0,No,No,42,Un año,Sí,Tarjeta de crédito,DSL,Sí,No,Sí,103.23,4160.87,2,0
CU5126,Masculino,0,Sí,No,27,Mes a mes,No,Cheque electrónico,Sin internet,No,No,Sí,38.65,1065.48,1,0
CU5127,Femenino,0,Sí,No,39,Dos años,No,Transferencia,DSL,No,No,No,56.37,2142.32,1,0
CU5128,Femenino,0,Sí,Sí,63,Dos años,No,Transferencia,Sin internet,No,Sí,Sí,72.86,4359.8,0,0
CU5129,Masculino,1,Sí,Sí,11,Dos años,No,Domiciliación bancaria,Sin internet,No,Sí,No,79.71,896.55,2,0
CU5130,Femenino,0,No,No,51,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,No,Sí,61.91,3226.54,1,1
CU5131,Masculino,1,Sí,Sí,55,Mes a mes,No,Transferencia,DSL,Sí,No,Sí,75.85,4238.12,2,1
CU5132,Masculino,0,No,Sí,64,Mes a mes,Sí,Tarjeta de crédito,DSL,No,No,No,91.94,6147.36,1,0
CU5133,Femenino,1,Sí,Sí,18,Un año,No,Cheque electrónico,Fibra óptica,Sí,No,Sí,28.89,535.81,0,0
CU5134,Masculino,0,Sí,No,38,Dos años,Sí,Transferencia,DSL,No,No,Sí,45.87,1662.98,2,0
CU5135,Femenino,1,No,No,31,Dos años,Sí,Transferencia,DSL,No,Sí,No,41.43,1255.36,0,0
CU5136,Femenino,0,Sí,No,59,Mes a mes,No,Tarjeta de crédito,DSL,No,Sí,No,54.61,3093.72,0,0
CU5137,Femenino,1,Sí,No,12,Mes a mes,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,99.72,1234.47,0,0
CU5138,Masculino,0,No,No,17,Un año,No,Transferencia,DSL,No,Sí,Sí,92.22,1641.41,0,0
CU5139,Masculino,0,Sí,No,20,Mes a mes,No,Transferencia,Fibra óptica,No,No,Sí,62.58,1294.93,3,1
CU5140,Femenino,0,No,Sí,20,Un año,Sí,Transferencia,Fibra óptica,Sí,No,Sí,87.51,1720.39,2,1
CU5141,Femenino,0,Sí,No,61,Un año,Sí,Domiciliación bancaria,Fibra óptica,Sí,Sí,Sí,124.25,7379.1,1,0
CU5142,Masculino,1,No,No,36,Un año,Sí,Transferencia,Fibra óptica,Sí,Sí,Sí,30.09,1124.45,0,0
CU5143,Masculino,0,Sí,No,50,Mes a mes,No,Cheque electrónico,DSL,No,Sí,No,46.38,2186.59,0,0
CU5144,Femenino,0,No,No,35,Un año,No,Tarjeta de crédito,Sin internet,No,No,No,57.4,2005.93,0,1
CU5145,Femenino,0,No,No,55,Mes a mes,Sí,Domiciliación bancaria,Sin internet,No,No,Sí,75.53,4274.77,0,0
CU5146,Masculino,0,No,No,3,Mes a mes,No,Cheque electrónico,Fibra óptica,Sí,Sí,No,79.44,234.42,1,1
CU5147,Masculino,0,No,Sí,16,Un año,Sí,Tarjeta de crédito,Sin internet,No,Sí,Sí,35.26,582.32,2,0
CU5148,Masculino,0,No,No,42,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,Sí,No,No,70.01,2768.58,0,1
CU5149,Masculino,0,No,Sí,19,Dos años,No,Cheque electrónico,Fibra óptica,No,Sí,No,88.68,1550.72,1,0
CU5150,Femenino,0,Sí,No,1,Mes a mes,Sí,Transferencia,DSL,No,Sí,No,30.83,32.02,2,0
CU5151,Masculino,0,Sí,Sí,55,Dos años,Sí,Domiciliación bancaria,Fibra óptica,No,No,No,69.2,3902.6,0,0
CU5152,Masculino,0,Sí,No,14,Dos años,Sí,Cheque electrónico,DSL,No,No,No,47.81,689.92,0,0
CU5153,Femenino,0,No,Sí,62,Mes a mes,No,Transferencia,Fibra óptica,No,No,No,24.58,1407.46,2,0
CU5154,Masculino,0,No,No,22,Mes a mes,Sí,Domiciliación bancaria,DSL,No,No,No,92.48,2082.8,2,1
CU5155,Masculino,0,No,No,38,Mes a mes,No,Domiciliación bancaria,Fibra óptica,No,Sí,Sí,78.04,3043.19,0,1
CU5156,Femenino,0,No,No,61,Un año,No,Transferencia,Fibra óptica,No,Sí,No,39.85,2324.05,3,0
CU5157,Masculino,0,Sí,Sí,24,Mes a mes,Sí,Transferencia,Sin internet,No,Sí,Sí,90.66,2244.5,1,0
CU5158,Masculino,0,No,No,14,Dos años,No,Domiciliación bancaria,Sin internet,Sí,No,No,124.36,1765.07,1,0
CU5159,Femenino,0,Sí,No,30,Un año,No,Domiciliación bancaria,Fibra óptica,No,No,Sí,67.96,1878.6,3,0
CU5160,Masculino,0,Sí,No,28,Un año,No,Tarjeta de crédito,Fibra óptica,No,No,No,26.29,770.8,1,0
CU5161,Femenino,0,No,No,43,Un año,No,Tarjeta de crédito,DSL,No,No,Sí,56.57,2509.52,4,0
CU5162,Femenino,0,Sí,No,47,Un año,Sí,Tarjeta de crédito,DSL,Sí,No,Sí,18.0,828.43,1,0
CU5163,Masculino,1,No,Sí,70,Mes a mes,Sí,Transferencia,Fibra óptica,Sí,Sí,Sí,61.64,4343.45,0,0
CU5164,Masculino,0,Sí,No,10,Un año,Sí,Tarjeta de crédito,Fibra óptica,Sí,No,Sí,54.24,539.64,1,0
CU5165,Femenino,0,Sí,No,14,Un año,Sí,Domiciliación bancaria,DSL,Sí,No,Sí,86.89,1274.66,0,1
CU5166,Masculino,0,Sí,Sí,5,Un año,Sí,Cheque electrónico,DSL,Sí,Sí,No,48.26,224.18,1,0
CU5167,Femenino,0,Sí,No,6,Dos años,Sí,Cheque electrónico,Fibra óptica,No,No,Sí,90.07,525.85,1,0
CU5168,Masculino,0,No,No,0,Mes a mes,Sí,Domiciliación bancaria,DSL,No,No,No,42.59,41.78,1,1
CU5169,Femenino,0,Sí,No,26,Un año,Sí,Transferencia,DSL,Sí,Sí,Sí,61.67,1504.31,1,0
CU5170,Femenino,0,No,Sí,70,Mes a mes,Sí,Tarjeta de crédito,DSL,No,Sí,Sí,25.62,1724.63,1,0
CU5171,Masculino,0,Sí,No,3,Un año,No,Tarjeta de crédito,DSL,No,No,Sí,35.09,109.28,2,0
CU5172,Masculino,0,Sí,No,2,Dos años,No,Cheque electrónico,Fibra óptica,No,Sí,No,86.94,173.08,1,0
CU5173,Femenino,0,Sí,No,24,Un año,No,Cheque electrónico,Fibra óptica,No,No,Sí,94.97,2377.86,0,0
CU5174,Femenino,1,Sí,No,47,Mes a mes,Sí,Cheque electrónico,DSL,Sí,Sí,No,46.69,2025.37,2,0
CU5175,Femenino,0,No,Sí,48,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,No,No,79.54,3716.18,1,1
CU5176,Femenino,0,Sí,No,0,Dos años,No,Tarjeta de crédito,DSL,No,No,Sí,86.83,90.57,3,0
CU5177,Masculino,0,Sí,No,1,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,No,No,35.1,32.85,2,1
CU5178,Masculino,0,Sí,Sí,60,Dos años,No,Domiciliación bancaria,Fibra óptica,Sí,Sí,No,77.64,4456.71,1,0
CU5179,Femenino,0,No,No,59,Dos años,No,Transferencia,Fibra óptica,No,Sí,Sí,65.34,3604.17,3,0
CU5180,Masculino,0,No,No,48,Mes a mes,Sí,Domiciliación bancaria,DSL,Sí,No,Sí,74.82,3332.54,2,0
CU5181,Femenino,0,No,Sí,10,Dos años,Sí,Domiciliación bancaria,Fibra óptica,No,No,No,61.61,610.69,1,0
CU5182,Femenino,0,Sí,Sí,71,Un año,Sí,Cheque electrónico,Fibra óptica,No,No,Sí,18.0,1318.34,3,0
CU5183,Femenino,0,No,Sí,53,Dos años,Sí,Domiciliación bancaria,Sin internet,No,No,No,69.68,3865.91,1,0
CU5184,Femenino,0,No,No,68,Mes a mes,Sí,Tarjeta de crédito,DSL,No,Sí,Sí,60.35,4172.88,0,0
CU5185,Masculino,0,Sí,No,44,Un año,No,Domiciliación bancaria,Fibra óptica,No,No,Sí,55.68,2263.59,0,0
CU5186,Masculino,0,Sí,No,70,Mes a mes,Sí,Tarjeta de crédito,DSL,No,No,No,19.02,1350.25,1,0
CU5187,Femenino,0,Sí,No,8,Mes a mes,No,Tarjeta de crédito,Fibra óptica,No,Sí,Sí,93.03,710.68,1,0
CU5188,Femenino,0,Sí,No,5,Mes a mes,No,Domiciliación bancaria,Sin internet,No,No,No,66.14,333.47,1,1
CU5189,Femenino,0,No,Sí,69,Un año,No,Tarjeta de crédito,Fibra óptica,Sí,No,No,18.0,1238.48,2,0
CU5190,Femenino,0,No,No,42,Mes a mes,No,Cheque electrónico,Fibra óptica,No,No,Sí,103.1,4084.08,0,0
CU5191,Masculino,0,Sí,No,44,Dos años,Sí,Tarjeta de crédito,Fibra óptica,No,No,Sí,76.94,3360.2,1,0
CU5192,Masculino,0,Sí,No,54,Mes a mes,No,Transferencia,Fibra óptica,No,No,Sí,90.8,4839.09,3,1
CU5193,Femenino,0,No,No,67,Un año,Sí,Tarjeta de crédito,Sin internet,Sí,No,Sí,56.69,3635.59,5,0
CU5194,Masculino,0,No,Sí,9,Dos años,Sí,Domiciliación bancaria,Fibra óptica,No,Sí,No,64.63,567.54,0,0
CU5195,Femenino,0,Sí,No,19,Mes a mes,No,Cheque electrónico,DSL,No,No,No,94.81,1783.92,1,1
CU5196,Masculino,0,Sí,No,15,Mes a mes,No,Transferencia,DSL,No,Sí,Sí,77.18,1098.5,0,1
CU5197,Masculino,0,No,Sí,19,Mes a mes,Sí,Tarjeta de crédito,Fibra óptica,No,Sí,No,61.13,1162.79,1,0
CU5198,Masculino,1,No,Sí,29,Dos años,No,Domiciliación bancaria,DSL,No,Sí,Sí,47.14,1415.76,1,0
CU5199,Femenino,0,No,Sí,41,Dos años,No,Transferencia,Fibra óptica,Sí,No,No,18.0,684.76,0,0
CU5200,Masculino,0,Sí,No,62,Un año,No,Tarjeta de crédito,DSL,No,Sí,No,90.59,5369.07,0,0
CU5201,Masculino,0,No,No,17,Un año,Sí,Cheque electrónico,Sin internet,Sí,No,No,91.44,1491.14,1,0
CU5202,Femenino,0,No,Sí,59,Mes a mes,Sí,Transferencia,Fibra óptica,No,No,Sí,85.9,4724.02,0,0
CU5203,Femenino,1,Sí,No,41,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,Sí,Sí,96.97,3975.15,0,0
CU5204,Masculino,0,Sí,Sí,59,Un año,Sí,Transferencia,DSL,Sí,No,No,39.06,2169.29,1,0
CU5205,Masculino,0,No,No,58,Mes a mes,Sí,Tarjeta de crédito,Sin internet,Sí,No,No,55.32,2984.11,1,0
CU5206,Femenino,0,Sí,No,20,Dos años,Sí,Cheque electrónico,Sin internet,Sí,Sí,No,51.68,1000.38,0,0
CU5207,Femenino,0,No,Sí,56,Dos años,No,Domiciliación bancaria,Sin internet,Sí,No,Sí,18.0,1020.32,0,0
CU5208,Femenino,0,Sí,No,55,Dos años,Sí,Transferencia,Sin internet,Sí,Sí,Sí,48.28,2475.97,0,0
CU5209,Femenino,0,No,Sí,41,Mes a mes,No,Transferencia,Fibra óptica,Sí,Sí,No,69.77,2742.36,2,0
